product_id,product_name,brand_name,price_current,price_original,sold_count,discount_pct
2070262528,[Shock Deal 02.02 | 500K Off] Essence That Fades Dark Spots and Reduces the Formation of Brown Spots Murad Rapid Dark Spot Correcting Serum 30ml,Murad,2372000,2445000.0,1800,3.0
1999474295,[Mega Tet |   Discount 500K] Murad Rapid Relief Acne Treatment Gel 15ml,Murad,753000,776000.0,2100,3.0
1999468969,Murad Nutrient-Charged Water Gel Rich in Essence 50ml,Murad,1998000,1998000.0,139,0.0
1999570180,"[Pre-Order] Murad Vita-C Glycolic Serum 30ml, a Skin-Brightening and Skin-Tone-Evening Essence",Murad,2472000,2548000.0,622,3.0
1999512677,Retinol Moisturizing Cream Helps Smooth Skin and Reduce Wrinkles Murad Retinol Youth Renewal Cream 50ml,Murad,2812000,2812000.0,114,0.0
1999428938,Murad Clarifying oil free water gel moisturizer 60ml,Murad,1345000,1345000.0,154,0.0
1999567409,Retinol Essence Helps Smooth Skin and Reduce Wrinkles Murad Retinol Youth Renewal Serum 30ml,Murad,2896000,2896000.0,305,0.0
3172657876,Sunscreen - Murad Superactive Moisturizer Spf 40: Mattifying Oil + Pore Control 50ml,Murad,1450000,1450000.0,6,0.0
2870025876,Essence That Soothes Dry Skin and Nourishes the Skin's Protective Barrier Murad Cellular Hydration Repair Serum 30ml,Murad,2210000,2210000.0,9,0.0
2612411027,Retinous essence to improve skin elasticity Murad retinous favorites midnight treatment 30ml,Murad,2935000,2935000.0,77,0.0
3001185622,Rapid Dark Spot Correcting Serum 5ml,Murad,590000,590000.0,56,0.0
3061281641,Obagi Medical Foaming Gel (200ml),Obagi,1237500,1250000.0,21,1.0
3064161529,Obagi Medical Daily Hydro-Drops Rejuvenating Eye Gel Cream 15ml,Obagi,1930500,1950000.0,28,1.0
2995389616,Exfoliating Facial Cleanser That Helps Reduce Acne Clenziderm M.D. Daily Lightweight Foaming Blemish Cleanser,Obagi,1138500,1150000.0,28,1.0
3001271404,Obagi Medical Clenziderm M.D Bha Toner Duo for Acne Cleansing and Exfoliating 148ml and Obagi 360 Retinol 1.0 Anti-Aging & Skin Regeneration Cream 28g,Obagi,3267000,3300000.0,168,1.0
2965410910,Obagi Medical Retinol 0.5 Moisturizer & Wrinkle Reducer,Obagi,1880000,1900000.0,224,1.1
2397779456,Obagi Clinical Kinetin+ Hydrating Cream,Obagi,1668150,1685000.0,914,1.0
2392971001,Kem Dưỡng Ẩm Suốt 8 Giờ Obagi Hydrate Facial Moisturizer 48g,Obagi,1435500,1450000.0,151,1.0
2397873395,Kem dưỡng ẩm & làm giảm nếp nhăn Obagi Medical Retinol 1.0,Obagi,2029500,2050000.0,2200,1.0
3072875468,Obagi Daily Hydro-Drops Moisturizing & Restoring Serum Duo 30ml and Obagi Medical Daily Hydro-Drops Rejuvenating Eye Gel Cream 15ml,Obagi,4653000,4700000.0,0,1.0
2997446023,[New Version] Obagi Medical Clenziderm M.D Bha Toner Duo for Acne Cleansing and Exfoliating 148ml and Obagi 360 Retinol 0.5 Anti-Aging & Skin Regeneration Cream 28g,Obagi,3117500,3150000.0,80,1.0
3135559245,Obagi Medical Retinol + Pha Night Cream to Regenerate and Prevent Skin Aging,Obagi,2919500,2950000.0,176,1.0
2397924237,Obagi Medical Retinol 0.5 Moisturizer & Wrinkle Reducer,Obagi,1880000,1900000.0,1400,1.1
2392814305,Obagi Hydrate Luxe Moisture-Rich Cream Is a Rich and Deeply Nourishing Moisturizer.,Obagi,1930500,1950000.0,102,1.0
