review_id,n_aspect_mentions,n_distinct_aspects,primary_sentiment,has_negative_aspect,has_positive_aspect,is_mixed_sentiment,review_score,brand_name,product_id,hidden_complaint
0,6,2,positive,False,True,True,2.0,Murad,2070262528,False
1,6,2,positive,False,True,True,5.0,Murad,2070262528,False
2,3,1,positive,False,True,True,5.0,Murad,2070262528,False
3,4,2,positive,False,True,True,5.0,Murad,2070262528,False
5,1,1,positive,False,True,False,5.0,Murad,2070262528,False
6,4,1,positive,False,True,False,5.0,Murad,2070262528,False
10,2,1,positive,False,True,True,5.0,Murad,2070262528,False
11,3,3,positive,False,True,False,5.0,Murad,2070262528,False
12,2,1,neutral,False,True,True,5.0,Murad,2070262528,False
13,4,3,positive,False,True,True,5.0,Murad,2070262528,False
14,3,2,neutral,False,True,True,5.0,Murad,2070262528,False
15,3,2,neutral,False,False,False,5.0,Murad,2070262528,False
16,2,1,positive,False,True,True,5.0,Murad,2070262528,False
17,1,1,neutral,False,False,False,5.0,Murad,2070262528,False
18,2,2,positive,False,True,False,5.0,Murad,2070262528,False
19,2,2,positive,False,True,False,5.0,Murad,2070262528,False
20,1,1,neutral,False,False,False,5.0,Murad,2070262528,False
21,2,2,neutral,False,True,True,5.0,Murad,2070262528,False
22,2,2,neutral,True,False,True,5.0,Murad,2070262528,True
23,3,1,neutral,False,True,True,5.0,Murad,2070262528,False
24,5,2,positive,False,True,True,5.0,Murad,2070262528,False
25,1,1,negative,True,False,False,5.0,Murad,2070262528,True
26,2,2,neutral,False,True,True,5.0,Murad,2070262528,False
27,1,1,neutral,False,False,False,5.0,Murad,2070262528,False
30,3,1,neutral,False,True,True,5.0,Murad,2070262528,False
31,1,1,neutral,False,False,False,5.0,Murad,2070262528,False
32,1,1,neutral,False,False,False,5.0,Murad,2070262528,False
35,8,2,positive,False,True,True,5.0,Murad,2070262528,False
36,3,1,neutral,False,False,False,5.0,Murad,2070262528,False
37,1,1,negative,True,False,False,5.0,Murad,2070262528,True
38,5,2,positive,False,True,True,5.0,Murad,2070262528,False
39,7,1,positive,False,True,True,5.0,Murad,2070262528,False
40,4,1,positive,False,True,True,5.0,Murad,2070262528,False
41,2,2,positive,False,True,False,5.0,Murad,2070262528,False
42,1,1,neutral,False,False,False,5.0,Murad,2070262528,False
43,2,2,positive,False,True,False,5.0,Murad,2070262528,False
44,2,1,positive,False,True,True,5.0,Murad,2070262528,False
45,3,1,positive,False,True,True,5.0,Murad,2070262528,False
46,1,1,positive,False,True,False,5.0,Murad,2070262528,False
47,1,1,positive,False,True,False,5.0,Murad,2070262528,False
48,2,1,positive,False,True,False,5.0,Murad,2070262528,False
49,3,2,positive,False,True,True,5.0,Murad,2070262528,False
50,2,1,positive,False,True,True,5.0,Murad,2070262528,False
51,2,1,positive,False,True,True,5.0,Murad,2070262528,False
52,2,1,neutral,False,True,True,5.0,Murad,2070262528,False
54,1,1,positive,False,True,False,5.0,Murad,2070262528,False
55,3,1,positive,False,True,False,5.0,Murad,2070262528,False
56,1,1,negative,True,False,False,5.0,Murad,2070262528,True
57,3,1,positive,False,True,True,5.0,Murad,2070262528,False
59,4,1,neutral,False,True,True,5.0,Murad,2070262528,False
60,1,1,neutral,False,False,False,5.0,Murad,2070262528,False
61,1,1,positive,False,True,False,5.0,Murad,2070262528,False
62,1,1,neutral,False,False,False,5.0,Murad,2070262528,False
63,3,1,positive,False,True,False,5.0,Murad,2070262528,False
64,2,2,neutral,False,False,False,5.0,Murad,2070262528,False
65,4,3,neutral,False,True,True,5.0,Murad,2070262528,False
66,2,2,positive,False,True,True,5.0,Murad,2070262528,False
67,2,2,positive,False,True,True,5.0,Murad,2070262528,False
68,4,3,positive,False,True,False,5.0,Murad,2070262528,False
69,3,3,positive,False,True,False,5.0,Murad,2070262528,False
70,1,1,positive,False,True,False,5.0,Murad,2070262528,False
71,2,2,positive,False,True,False,5.0,Murad,2070262528,False
73,2,2,neutral,True,False,True,5.0,Murad,2070262528,True
74,2,1,neutral,False,True,True,5.0,Murad,2070262528,False
75,1,1,neutral,False,False,False,5.0,Murad,2070262528,False
76,3,3,positive,False,True,True,5.0,Murad,2070262528,False
78,1,1,positive,False,True,False,5.0,Murad,2070262528,False
79,1,1,positive,False,True,False,5.0,Murad,2070262528,False
80,2,2,neutral,False,False,False,5.0,Murad,2070262528,False
81,3,2,neutral,False,True,True,5.0,Murad,2070262528,False
82,2,2,neutral,False,True,True,5.0,Murad,2070262528,False
84,3,2,neutral,True,False,True,5.0,Murad,2070262528,True
85,3,2,positive,False,True,True,5.0,Murad,2070262528,False
86,1,1,positive,False,True,False,5.0,Murad,2070262528,False
89,2,2,neutral,False,False,False,5.0,Murad,2070262528,False
92,1,1,negative,True,False,False,1.0,Murad,1999474295,False
93,1,1,neutral,False,False,False,2.0,Murad,1999474295,False
94,1,1,negative,True,False,False,3.0,Murad,1999474295,False
95,2,1,negative,True,False,True,3.0,Murad,1999474295,False
96,1,1,neutral,False,False,False,5.0,Murad,1999474295,False
97,3,2,positive,False,True,False,5.0,Murad,1999474295,False
98,3,1,positive,False,True,False,5.0,Murad,1999474295,False
99,1,1,positive,False,True,False,5.0,Murad,1999474295,False
100,1,1,neutral,False,False,False,5.0,Murad,1999474295,False
101,2,1,positive,False,True,False,5.0,Murad,1999474295,False
102,1,1,positive,False,True,False,5.0,Murad,1999474295,False
103,2,2,neutral,False,False,False,5.0,Murad,1999474295,False
106,4,2,positive,False,True,True,5.0,Murad,1999474295,False
107,5,4,positive,False,True,True,5.0,Murad,1999474295,False
108,2,1,neutral,False,True,True,5.0,Murad,1999474295,False
109,1,1,neutral,False,False,False,5.0,Murad,1999474295,False
110,2,1,positive,False,True,True,5.0,Murad,1999474295,False
111,4,3,positive,False,True,False,5.0,Murad,1999474295,False
113,1,1,neutral,False,False,False,5.0,Murad,1999474295,False
114,2,1,neutral,False,True,True,5.0,Murad,1999474295,False
115,4,1,positive,False,True,True,5.0,Murad,1999474295,False
117,2,1,positive,False,True,True,5.0,Murad,1999474295,False
118,2,2,positive,False,True,True,5.0,Murad,1999474295,False
119,2,2,neutral,True,False,True,5.0,Murad,1999474295,True
120,1,1,neutral,False,False,False,5.0,Murad,1999474295,False
121,1,1,neutral,False,False,False,5.0,Murad,1999474295,False
122,4,1,positive,False,True,True,5.0,Murad,1999474295,False
123,2,2,positive,False,True,False,5.0,Murad,1999474295,False
124,3,3,positive,False,True,False,5.0,Murad,1999474295,False
126,4,1,neutral,False,True,True,5.0,Murad,1999474295,False
127,1,1,negative,True,False,False,5.0,Murad,1999474295,True
128,1,1,positive,False,True,False,5.0,Murad,1999474295,False
129,1,1,positive,False,True,False,5.0,Murad,1999474295,False
130,4,3,neutral,False,True,True,5.0,Murad,1999474295,False
131,1,1,positive,False,True,False,5.0,Murad,1999474295,False
132,2,2,positive,False,True,False,5.0,Murad,1999474295,False
133,2,2,neutral,False,False,False,5.0,Murad,1999474295,False
134,3,2,neutral,False,True,True,5.0,Murad,1999474295,False
135,2,1,neutral,False,False,False,5.0,Murad,1999474295,False
136,1,1,neutral,False,False,False,5.0,Murad,1999474295,False
137,1,1,positive,False,True,False,5.0,Murad,1999474295,False
138,3,3,positive,False,True,False,5.0,Murad,1999474295,False
139,4,4,positive,False,True,False,5.0,Murad,1999474295,False
140,3,3,positive,False,True,False,5.0,Murad,1999474295,False
142,2,1,positive,False,True,True,5.0,Murad,1999474295,False
143,3,3,neutral,False,True,True,5.0,Murad,1999474295,False
144,3,3,positive,False,True,False,5.0,Murad,1999474295,False
145,3,2,positive,False,True,True,5.0,Murad,1999474295,False
146,1,1,neutral,False,False,False,5.0,Murad,1999474295,False
147,1,1,neutral,False,False,False,5.0,Murad,1999474295,False
148,2,2,neutral,False,False,False,5.0,Murad,1999474295,False
149,3,3,neutral,False,True,True,5.0,Murad,1999474295,False
150,1,1,neutral,False,False,False,5.0,Murad,1999474295,False
151,1,1,positive,False,True,False,5.0,Murad,1999474295,False
152,2,1,positive,False,True,False,5.0,Murad,1999474295,False
153,1,1,positive,False,True,False,5.0,Murad,1999474295,False
154,1,1,positive,False,True,False,5.0,Murad,1999474295,False
157,4,3,neutral,False,False,False,5.0,Murad,1999474295,False
