product_id,product_name,brand_name,price_current,price_original,sold_count,review_score,review_text,review_year,review_month,review_text_clean,review_len,word_count,review_id,dup_count,is_template_like,aspect_Hiệu_quả,aspect_Giá_cả,aspect_Chất_lượng,aspect_Giao_hàng,aspect_Mùi_hương,aspect_Thành_phần,aspect_Dịch_vụ
2070262528,[Shock Deal 02.02 | 500K Off] Essence That Fades Dark Spots and Reduces the Formation of Brown Spots Murad Rapid Dark Spot Correcting Serum 30ml,Murad,2372000,2445000.0,1800,2.0,"Chất lượng:ko ok
Sản phẩm có dấu hiệu cạy mở. Mình có thể đưa hình chứng minh, vừa mở hộp sp ra thấy ngay chai serum dính tinh chất ở cổ chai , đã bị mở ra rồi.
Murad đừng mở miệng ra nói có miếng seal dán ở hộp nha, seal là 1 miếng decal mở ra dán miếng mới 30s ko hề ảnh hưởng gì đến box
Mình đảm bảo là sp đã bị vặn cổ chai mở ra rồi đóng lại.
Murad ơi! 1 thương hiệu lớn bán sp cao cấp ko hề rẻ 1 chút nào, đừng để NV làm như vậy nữa mất uy tín lắm. Mở sp ra bực cả mình. Còn là mấy sp C nữa gặp ko khí là oxi hoá rồi còn gì. Chất lượng serum ai đảm bảo nữa đây?!?",2023.0,6.0,"Chất lượng:ko ok Sản phẩm có dấu hiệu cạy mở. Mình có thể đưa hình chứng minh, vừa mở hộp sp ra thấy ngay chai serum dính tinh chất ở cổ chai , đã bị mở ra rồi. Murad đừng mở miệng ra nói có miếng seal dán ở hộp nha, seal là 1 miếng decal mở ra dán miếng mới 30s ko hề ảnh hưởng gì đến box Mình đảm bảo là sp đã bị vặn cổ chai mở ra rồi đóng lại. Murad ơi! 1 thương hiệu lớn bán sp cao cấp ko hề rẻ 1 chút nào, đừng để NV làm như vậy nữa mất uy tín lắm. Mở sp ra bực cả mình. Còn là mấy sp C nữa gặp ko khí là oxi hoá rồi còn gì. Chất lượng serum ai đảm bảo nữa đây?!?",568,140,0,1,False,0,0,1,0,0,0,1
2070262528,[Shock Deal 02.02 | 500K Off] Essence That Fades Dark Spots and Reduces the Formation of Brown Spots Murad Rapid Dark Spot Correcting Serum 30ml,Murad,2372000,2445000.0,1800,5.0,"Giảm thâm nám nhanh chóng và hiệu quả, Giảm sự xuất hiện của các đốm đen, Cải thiện độ rõ ràng và sáng của da tổng thể, 
 💪Hiệu quả:Làm sáng da, Rất hiệu quả, 
 Giá Cả:Giá cả phải chăng,  ",2026.0,4.0,"Giảm thâm nám nhanh chóng và hiệu quả, Giảm sự xuất hiện của các đốm đen, Cải thiện độ rõ ràng và sáng của da tổng thể, 💪Hiệu quả:Làm sáng da, Rất hiệu quả, Giá Cả:Giá cả phải chăng,",182,39,1,1,False,1,1,0,0,0,0,0
2070262528,[Shock Deal 02.02 | 500K Off] Essence That Fades Dark Spots and Reduces the Formation of Brown Spots Murad Rapid Dark Spot Correcting Serum 30ml,Murad,2372000,2445000.0,1800,5.0,"Giảm thâm nám nhanh chóng và hiệu quả, Giảm sự tối màu da, làm đều màu da hơn, Cải thiện độ rõ ràng và sáng của da tổng thể,  ",2026.0,4.0,"Giảm thâm nám nhanh chóng và hiệu quả, Giảm sự tối màu da, làm đều màu da hơn, Cải thiện độ rõ ràng và sáng của da tổng thể,",124,29,2,1,False,1,0,0,0,0,0,0
2070262528,[Shock Deal 02.02 | 500K Off] Essence That Fades Dark Spots and Reduces the Formation of Brown Spots Murad Rapid Dark Spot Correcting Serum 30ml,Murad,2372000,2445000.0,1800,5.0,"Thúc đẩy làn da mịn màng và rạng rỡ hơn, Huyết thanh chứa Vitamin C cho làn da sáng hơn, Cải thiện kết cấu và độ rạng rỡ của da, Giảm sự xuất hiện của các đốm đen,  ",2026.0,3.0,"Thúc đẩy làn da mịn màng và rạng rỡ hơn, Huyết thanh chứa Vitamin C cho làn da sáng hơn, Cải thiện kết cấu và độ rạng rỡ của da, Giảm sự xuất hiện của các đốm đen,",163,38,3,1,False,1,0,0,0,1,0,0
2070262528,[Shock Deal 02.02 | 500K Off] Essence That Fades Dark Spots and Reduces the Formation of Brown Spots Murad Rapid Dark Spot Correcting Serum 30ml,Murad,2372000,2445000.0,1800,5.0,Tot ,2026.0,3.0,Tot,3,1,4,3,True,0,0,0,0,0,0,0
2070262528,[Shock Deal 02.02 | 500K Off] Essence That Fades Dark Spots and Reduces the Formation of Brown Spots Murad Rapid Dark Spot Correcting Serum 30ml,Murad,2372000,2445000.0,1800,5.0,"Công thức nhẹ nhàng không gây kích ứng, mình mới dung không biết thế nào  ",2026.0,3.0,"Công thức nhẹ nhàng không gây kích ứng, mình mới dung không biết thế nào",72,15,5,1,False,1,0,0,0,0,0,0
2070262528,[Shock Deal 02.02 | 500K Off] Essence That Fades Dark Spots and Reduces the Formation of Brown Spots Murad Rapid Dark Spot Correcting Serum 30ml,Murad,2372000,2445000.0,1800,5.0,"Làm mịn và đều màu da, Cải thiện độ rõ ràng và sáng của da tổng thể, Giảm thâm nám nhanh chóng và hiệu quả, Thúc đẩy làn da mịn màng và rạng rỡ hơn, Công thức nhẹ nhàng không gây kích ứng, ",2026.0,2.0,"Làm mịn và đều màu da, Cải thiện độ rõ ràng và sáng của da tổng thể, Giảm thâm nám nhanh chóng và hiệu quả, Thúc đẩy làn da mịn màng và rạng rỡ hơn, Công thức nhẹ nhàng không gây kích ứng,",188,43,6,1,False,1,0,0,0,0,0,0
2070262528,[Shock Deal 02.02 | 500K Off] Essence That Fades Dark Spots and Reduces the Formation of Brown Spots Murad Rapid Dark Spot Correcting Serum 30ml,Murad,2372000,2445000.0,1800,5.0,"Huyết thanh chứa Vitamin C cho làn da sáng hơn,  ",2026.0,2.0,"Huyết thanh chứa Vitamin C cho làn da sáng hơn,",47,10,7,2,False,0,0,0,0,0,0,0
2070262528,[Shock Deal 02.02 | 500K Off] Essence That Fades Dark Spots and Reduces the Formation of Brown Spots Murad Rapid Dark Spot Correcting Serum 30ml,Murad,2372000,2445000.0,1800,5.0,"Lớp  lót ko đẹp như lúc trước, mấy năm trươc scos mua qua rồi, lớp lót và mút làm cùng màu cùng vải mịn lắm chứ ko như giờ, ko thích nha ",2026.0,2.0,"Lớp lót ko đẹp như lúc trước, mấy năm trươc scos mua qua rồi, lớp lót và mút làm cùng màu cùng vải mịn lắm chứ ko như giờ, ko thích nha",135,32,8,1,False,0,0,0,0,0,0,0
2070262528,[Shock Deal 02.02 | 500K Off] Essence That Fades Dark Spots and Reduces the Formation of Brown Spots Murad Rapid Dark Spot Correcting Serum 30ml,Murad,2372000,2445000.0,1800,5.0,Giao nhanh chưa dùng nên chưa trãi nghiệm được ,2025.0,12.0,Giao nhanh chưa dùng nên chưa trãi nghiệm được,46,9,9,1,False,0,0,0,0,0,0,0
